,name,coauthors
1388,James G. Scott,Carlos M. Carvalho
1389,James G. Scott,Abigail RA Aiken
1390,James G. Scott,Jennifer E Starling
1391,James G. Scott,Mauricio Tec
1392,James G. Scott,Lauren Ancel Meyers
1393,James G. Scott,Wesley Tansey
1394,James G. Scott,James Berger
1395,James G. Scott,Spencer J. Fox
1396,James G. Scott,Michael Lachmann
1397,James G. Scott,Spencer Woody
1398,James G. Scott,Maytal Dahan
1399,James G. Scott,Kelly Gaither
1400,James G. Scott,Jared Murray
1401,James G. Scott,Ted von Hippel
1402,James G. Scott,Mikhail V  Matz
1403,James G. Scott,Rosalind M Eggo
1404,James G. Scott,Liang Sun
1405,James G. Scott,Alex Athey
1406,James G. Scott,Alex Reinhart
1407,James G. Scott,Rémy Pasco
1408,James G. Scott,Natalia  Zuniga-Garcia
1409,James G. Scott,Rachel M. Wright
1410,James G. Scott,Samuel V. Scarpino, PhD
1411,James G. Scott,Kathleen Broussard
1412,James G. Scott,Dana M Johnson
1413,James G. Scott,James Sharpnack
1414,James G. Scott,Brandon T. Willard
1415,James G. Scott,Russ Poldrack
1416,James G. Scott,Sanmi Koyejo
1417,James G. Scott,Radek Bukowski
1418,James G. Scott,Jonathan Pillow
1419,James G. Scott,Pengcheng Zhou
1420,James G. Scott,Robert E. Kass
1421,James G. Scott,Matthew A. Smith
1422,James G. Scott,Jorge A Prozzi
1423,James G. Scott,Ryan Tibshirani
1424,James G. Scott,Sarah W. Davies
1425,James G. Scott,P. Richard Hahn
1426,James G. Scott,Karl Pichotta
1427,James G. Scott,Mingyuan Zhou
1428,James G. Scott,Matthew Heaton
1429,James G. Scott,Jason Baldridge
1430,James G. Scott,Medhat Alberry
1431,James G. Scott,Natalia Ruiz
1432,James G. Scott,Jesse Thomason
1433,James G. Scott,Tom Shively
1434,James G. Scott,S. Claiborne Johnston
1435,James G. Scott,Emily Morgan Javan
1436,James G. Scott,Xutong Wang
1437,James G. Scott,Tanvi  Ingle
1438,James G. Scott,David  A. van Dyk
1439,James G. Scott,Lizhen Lin
1440,James G. Scott,Walter Piegorsch
1441,James G. Scott,Brian St. Thomas
1442,James G. Scott,Ofodike A. Ezekoye
1443,James G. Scott,Tyler Buffington
1444,James G. Scott,Corwin Zigler
1445,James G. Scott,Jarad Niemi
1446,Mehnaz Rahman,Gwan Choi
1450,Mehnaz Rahman,Ehsan Rohani
1454,Mehnaz Rahman,Jingwei Xu
1458,Mehnaz Rahman,Hossein Alavi, Ph.D.
1462,Mehnaz Rahman,Dongmin Yoon
1466,Mehnaz Rahman,Tiben Che
1470,Mehnaz Rahman,Mi Lu
1474,Mehnaz Rahman,Weiyi Wang
1478,Jeffrey D. Cirillo,Jianghong Rao
1479,Jeffrey D. Cirillo,Preeti Sule
1480,Jeffrey D. Cirillo,Stanley Falkow
1481,Jeffrey D. Cirillo,Kristen Carlson Maitland
1482,Jeffrey D. Cirillo,Gustavo Valbuena
1483,Jeffrey D. Cirillo,Mehta pk
